Potri.001G299500,4,193
Potri.001G332300,3,102
Potri.001G204300,1,NA
Potri.001G100900,4,118
Potri.001G152600,2,115
Potri.001G067700,8,227
Potri.001G016600,2,174
Potri.001G358000,6,29
Potri.001G396100,1,NA
Potri.001G414500,1,NA
Potri.001G137000,2,249
Potri.001G001200,1,NA
Potri.001G398500,5,401
Potri.001G276100,3,139
Potri.001G031700,2,1
Potri.001G218100,4,210
Potri.001G392600,6,369
Potri.001G312400,1,NA
Potri.001G207400,9,71
Potri.001G267100,3,68
Potri.001G345100,15,392
Potri.001G107100,2,6
Potri.001G465200,3,284
Potri.001G161500,4,493
Potri.001G136200,6,289
Potri.001G225200,5,433
Potri.001G215700,3,100
Potri.001G308900,1,NA
Potri.001G061700,1,NA
Potri.001G198300,5,476
Potri.001G316700,1,NA
Potri.001G117500,2,489
Potri.001G138200,1,NA
Potri.001G096400,2,1
Potri.001G138800,2,200
Potri.001G229100,1,NA
Potri.001G166200,10,9
Potri.001G434900,1,NA
Potri.001G282300,6,54
Potri.001G023200,4,23
Potri.001G191800,3,207
Potri.001G126200,2,751
Potri.001G269800,4,129
Potri.001G234700,1,NA
Potri.001G033700,9,11
Potri.001G447700,1,NA
Potri.001G056800,1,NA
Potri.001G470600,10,458
Potri.001G322700,6,51
Potri.001G197500,5,900
Potri.001G251000,2,654
Potri.001G452200,2,415
Potri.001G089900,6,195
Potri.001G258400,6,343
Potri.001G122100,1,NA
Potri.001G448800,1,NA
Potri.001G314700,1,NA
Potri.001G111900,3,147
Potri.001G254000,1,NA
Potri.001G391000,9,47
Potri.001G456300,1,NA
Potri.001G304000,2,113
Potri.001G277300,3,144
Potri.001G346100,1,NA
Potri.001G065600,3,735
Potri.001G350000,4,406
Potri.001G202300,1,NA
Potri.001G052100,1,NA
Potri.001G175500,2,222
Potri.001G015600,1,NA
Potri.001G248700,3,45
Potri.001G018900,1,NA
Potri.001G311600,4,72
Potri.001G358900,3,608
Potri.001G104100,1,NA
Potri.001G115100,6,231
Potri.001G176400,1,NA
Potri.001G395300,1,NA
Potri.001G232800,7,280
Potri.001G017600,61,20
Potri.001G409300,2,288
Potri.001G324000,2,1421
Potri.001G343500,20,101
Potri.001G356500,2,0
Potri.001G048900,3,978
Potri.001G228300,6,160
Potri.001G167200,2,287
Potri.001G009800,2,98
Potri.001G205300,18,82
Potri.001G028300,4,138
Potri.001G123500,1,NA
Potri.001G310000,6,137
Potri.001G093900,2,496
Potri.001G013000,16,55
Potri.001G424500,6,294
Potri.001G252900,1,NA
Potri.001G026300,7,218
Potri.001G466200,3,72
Potri.001G399100,2,198
Potri.001G273400,10,144
Potri.001G410400,1,NA
Potri.001G415900,10,196
Potri.001G372800,7,148
Potri.001G349800,1,NA
Potri.001G086600,3,538
Potri.001G280000,4,113
Potri.001G347500,3,143
Potri.001G108400,2,294
Potri.001G261400,9,27
Potri.001G075000,3,1591
Potri.001G388000,4,152
Potri.001G363300,9,146
Potri.001G416900,3,787
Potri.001G047000,4,98
Potri.001G125900,4,181
Potri.001G163900,5,394
Potri.001G390600,2,142
Potri.001G179000,4,159
Potri.001G115800,1,NA
Potri.001G257400,4,119
Potri.001G196700,3,193
Potri.001G116900,2,36
Potri.001G453200,3,303
Potri.001G035700,1,NA
Potri.001G268000,4,25
Potri.001G083500,1,NA
Potri.001G367800,1,NA
Potri.001G082100,2,807
Potri.001G004400,1,NA
Potri.001G360300,1,NA
Potri.001G376400,6,169
Potri.001G059800,1,NA
Potri.001G201800,83,33
Potri.001G050400,1,NA
Potri.001G296200,1,NA
Potri.001G233600,1,NA
Potri.001G290900,2,331
Potri.001G374100,3,211
Potri.001G174900,2,880
Potri.001G415600,3,212
Potri.001G140000,4,272
Potri.001G263600,2,42
Potri.001G255800,2,297
Potri.001G105300,6,198
Potri.001G341900,1,NA
Potri.001G090500,1,NA
Potri.001G039600,2,80
Potri.001G076900,1,NA
Potri.001G044600,8,39
Potri.001G014700,1,NA
Potri.001G134000,3,421
Potri.001G139300,8,280
Potri.001G287500,1,NA
Potri.001G359400,4,272
Potri.001G279300,1,NA
Potri.001G458200,4,492
Potri.001G283200,8,95
Potri.001G113500,6,26
Potri.001G057400,1,NA
Potri.001G196800,1,NA
Potri.001G081100,2,116
Potri.001G209200,1,NA
Potri.001G466400,1,NA
Potri.001G024000,1,NA
Potri.001G213900,23,114
Potri.001G241200,1,NA
Potri.001G440000,1,NA
Potri.001G019500,4,212
Potri.001G045400,1,NA
Potri.001G090800,12,121
Potri.001G297000,1,NA
Potri.001G302300,6,37
Potri.001G130100,4,160
Potri.001G433100,9,52
Potri.001G217600,5,266
Potri.001G411100,5,328
Potri.001G369200,1,NA
Potri.001G410200,3,135
Potri.001G099400,1,NA
Potri.001G376700,1,NA
Potri.001G128400,22,142
Potri.001G320900,1,NA
Potri.001G088600,2,177
Potri.001G373600,1,NA
Potri.001G354100,4,238
Potri.001G271900,2,141
Potri.001G001300,1,NA
Potri.001G460800,1,NA
Potri.001G040100,6,30
Potri.001G397200,3,97
Potri.001G344000,2,99
Potri.001G250500,3,487
Potri.001G450300,1,NA
Potri.001G112100,6,186
Potri.001G020300,10,81
Potri.001G119600,13,58
Potri.001G382500,1,NA
Potri.001G169500,2,9
Potri.001G272900,2,17
Potri.001G444500,55,65
Potri.001G245500,15,78
Potri.001G210900,1,NA
Potri.001G180400,1,NA
Potri.001G204200,3,403
Potri.001G240000,5,346
Potri.001G152500,4,111
Potri.001G298100,2,197
Potri.001G159200,1,NA
Potri.001G016700,1,NA
Potri.001G071800,1,NA
Potri.001G251900,2,762
Potri.001G031600,4,163
Potri.001G054400,1,NA
Potri.001G218200,5,153
Potri.001G329700,2,178
Potri.001G062100,4,62
Potri.001G043800,5,386
Potri.001G207500,5,58
Potri.001G449700,1,NA
Potri.001G080500,2,178
Potri.001G208000,1,NA
Potri.001G299400,8,77
Potri.001G027200,2,95
Potri.001G465300,2,132
Potri.001G078400,1,NA
Potri.001G353100,7,258
Potri.001G145300,2,39
Potri.001G225300,1,NA
Potri.001G193600,3,201
Potri.001G215600,6,55
Potri.001G429800,8,116
Potri.001G374600,2,1633
Potri.001G451300,15,76
Potri.001G166300,2,657
Potri.001G282200,2,6
Potri.001G375600,4,247
Potri.001G023300,1,NA
Potri.001G163200,49,107
Potri.001G383900,5,140
Potri.001G126300,4,288
Potri.001G085900,1,NA
Potri.001G142200,2,1063
Potri.001G294200,2,411
Potri.001G420400,2,265
Potri.001G336300,7,199
Potri.001G107000,4,168
Potri.001G192700,2,373
Potri.001G158000,2,330
Potri.001G322400,7,51
Potri.001G417600,2,258
Potri.001G403900,10,114
Potri.001G197600,4,116
Potri.001G251700,3,73
Potri.001G452300,12,92
Potri.001G025200,2,370
Potri.001G285000,7,145
Potri.001G055900,1,NA
Potri.001G202200,1,NA
Potri.001G003200,2,159
Potri.001G258500,6,462
Potri.001G074500,5,30
Potri.001G263100,2,130
Potri.001G252000,3,548
Potri.001G111600,1,NA
Potri.001G058700,1,NA
Potri.001G243200,7,23
Potri.001G220300,12,61
Potri.001G033600,7,291
Potri.001G368400,4,370
Potri.001G304100,13,215
Potri.001G309400,1,NA
Potri.001G168100,16,156
Potri.001G065700,1,NA
Potri.001G028700,20,79
Potri.001G123400,37,177
Potri.001G446400,5,63
Potri.001G310700,1,NA
Potri.001G093800,8,138
Potri.001G075900,3,304
Potri.001G134900,5,484
Potri.001G274500,14,299
Potri.001G248600,1,NA
Potri.001G331300,1,NA
Potri.001G247100,5,465
Potri.001G404900,5,377
Potri.001G358800,3,555
Potri.001G104200,1,NA
Potri.001G176700,8,89
Potri.001G319900,4,119
Potri.001G109300,1,NA
Potri.001G407200,19,46
Potri.001G391100,5,105
Potri.001G324100,2,21
Potri.001G343400,2,9
Potri.001G356400,2,309
Potri.001G009900,2,43
Potri.001G047800,1,NA
Potri.001G002000,1,NA
Potri.001G413100,2,141
Potri.001G363200,2,144
Potri.001G190600,3,98
Potri.001G424400,10,36
Potri.001G401500,8,100
Potri.001G191600,4,188
Potri.001G357900,1,NA
Potri.001G300000,1,NA
Potri.001G081800,1,NA
Potri.001G069400,1,NA
Potri.001G216700,7,39
Potri.001G293800,14,51
Potri.001G280300,7,129
Potri.001G141100,3,256
Potri.001G347400,1,NA
Potri.001G146400,7,203
Potri.001G171800,3,68
Potri.001G143100,2,193
Potri.001G402400,1,NA
Potri.001G253400,8,718
Potri.001G264000,2,3
Potri.001G442700,8,105
Potri.001G461000,2,230
Potri.001G157100,1,NA
Potri.001G076000,1,NA
Potri.001G170600,2,30
Potri.001G163800,2,73
Potri.001G390500,5,247
Potri.001G179100,10,97
Potri.001G115900,1,NA
Potri.001G260900,13,263
Potri.001G160100,3,204
Potri.001G268700,2,0
Potri.001G396900,1,NA
Potri.001G462400,1,NA
Potri.001G084500,1,NA
Potri.001G416000,5,52
Potri.001G121100,6,40
Potri.001G341800,2,4
Potri.001G206000,8,61
Potri.001G284200,5,268
Potri.001G101300,9,29
Potri.001G116800,2,0
Potri.001G035600,3,327
Potri.001G195700,2,80
Potri.001G028500,3,159
Potri.001G200500,4,545
Potri.001G034900,44,24
Potri.001G297300,8,270
Potri.001G302400,2,1044
Potri.001G087400,2,1827
Potri.001G365300,2,510
Potri.001G379900,11,50
Potri.001G014400,37,56
Potri.001G139400,4,496
Potri.001G359500,3,243
Potri.001G173900,1,NA
Potri.001G283300,5,13
Potri.001G472400,6,596
Potri.001G179400,8,256
Potri.001G236800,6,491
Potri.001G334200,1,NA
Potri.001G024300,1,NA
Potri.001G377700,6,213
Potri.001G213800,3,84
Potri.001G440700,3,75
Potri.001G045500,3,325
Potri.001G156300,5,217
Potri.001G090900,1,NA
Potri.001G090300,1,NA
Potri.001G077400,31,12
Potri.001G040000,13,124
Potri.001G186900,3,715
Potri.001G307100,1,NA
Potri.001G217100,2,84
Potri.001G244600,1,NA
Potri.001G030100,5,786
Potri.001G286100,1,NA
Potri.001G369100,2,387
Potri.001G243900,15,48
Potri.001G155400,1,NA
Potri.001G393200,7,58
Potri.001G226200,1,NA
Potri.001G044900,6,80
Potri.001G376600,10,137
Potri.001G144000,2,545
Potri.001G395900,2,1262
Potri.001G098600,3,208
Potri.001G088500,1,NA
